roundCount,playCount,amiability,aCount,cCount,dCount,totalPayoffs
1.0,0.0,0.2649938443598568,1.0,0.0,0.0,0.0
2.0,0.0,0.41199507548788544,2.0,0.0,0.0,0.0
3.0,1.0,0.5295960603903084,2.0,1.0,0.0,3.0
4.0,2.0,0.6236768483122467,2.0,2.0,0.0,6.0
5.0,3.0,0.6989414786497974,2.0,3.0,0.0,9.0
6.0,4.0,0.7591531829198379,2.0,4.0,0.0,12.0
7.0,5.0,0.8073225463358703,2.0,5.0,0.0,15.0
8.0,6.0,0.8458580370686962,2.0,6.0,0.0,18.0
9.0,7.0,0.876686429654957,2.0,7.0,0.0,21.0
10.0,8.0,0.9013491437239656,2.0,8.0,0.0,24.0
11.0,9.0,0.9210793149791725,2.0,9.0,0.0,27.0
12.0,10.0,0.936863451983338,2.0,10.0,0.0,30.0
13.0,11.0,0.9494907615866703,2.0,11.0,0.0,33.0
14.0,12.0,0.9595926092693363,2.0,12.0,0.0,36.0
15.0,13.0,0.967674087415469,2.0,13.0,0.0,39.0
16.0,14.0,0.9741392699323752,2.0,14.0,0.0,42.0
17.0,15.0,0.9793114159459002,2.0,15.0,0.0,45.0
18.0,16.0,0.9834491327567202,2.0,16.0,0.0,48.0
19.0,17.0,0.9867593062053761,2.0,17.0,0.0,51.0
20.0,18.0,0.9894074449643009,2.0,18.0,0.0,54.0
21.0,19.0,0.9915259559714407,2.0,19.0,0.0,57.0
22.0,20.0,0.9932207647771525,2.0,20.0,0.0,60.0
23.0,21.0,0.994576611821722,2.0,21.0,0.0,63.0
24.0,22.0,0.9956612894573775,2.0,22.0,0.0,66.0
25.0,23.0,0.996529031565902,2.0,23.0,0.0,69.0
26.0,24.0,0.9972232252527216,2.0,24.0,0.0,72.0
27.0,25.0,0.9977785802021772,2.0,25.0,0.0,75.0
28.0,26.0,0.9982228641617418,2.0,26.0,0.0,78.0
29.0,27.0,0.9985782913293935,2.0,27.0,0.0,81.0
30.0,28.0,0.9988626330635147,2.0,28.0,0.0,84.0
31.0,29.0,0.9990901064508118,2.0,29.0,0.0,87.0
32.0,30.0,0.9992720851606494,2.0,30.0,0.0,90.0
33.0,31.0,0.9994176681285195,2.0,31.0,0.0,93.0
34.0,32.0,0.9995341345028156,2.0,32.0,0.0,96.0
35.0,33.0,0.9996273076022525,2.0,33.0,0.0,99.0
36.0,34.0,0.999701846081802,2.0,34.0,0.0,102.0
37.0,35.0,0.9997614768654416,2.0,35.0,0.0,105.0
38.0,36.0,0.9998091814923533,2.0,36.0,0.0,108.0
39.0,37.0,0.9998473451938826,2.0,37.0,0.0,111.0
40.0,38.0,0.9998778761551061,2.0,38.0,0.0,114.0
41.0,39.0,0.9999023009240849,2.0,39.0,0.0,117.0
42.0,40.0,0.9999218407392679,2.0,40.0,0.0,120.0
43.0,41.0,0.9999374725914143,2.0,41.0,0.0,123.0
44.0,42.0,0.9999499780731315,2.0,42.0,0.0,126.0
45.0,43.0,0.9999599824585051,2.0,43.0,0.0,129.0
46.0,44.0,0.9999679859668041,2.0,44.0,0.0,132.0
47.0,45.0,0.9999743887734434,2.0,45.0,0.0,135.0
48.0,46.0,0.9999795110187547,2.0,46.0,0.0,138.0
49.0,47.0,0.9999836088150038,2.0,47.0,0.0,141.0
50.0,48.0,0.999986887052003,2.0,48.0,0.0,144.0
51.0,49.0,0.9999895096416024,2.0,49.0,0.0,147.0
52.0,50.0,0.9999916077132819,2.0,50.0,0.0,150.0
53.0,51.0,0.9999932861706256,2.0,51.0,0.0,153.0
54.0,52.0,0.9999946289365005,2.0,52.0,0.0,156.0
55.0,53.0,0.9999957031492004,2.0,53.0,0.0,159.0
56.0,54.0,0.9999965625193603,2.0,54.0,0.0,162.0
57.0,55.0,0.9999972500154882,2.0,55.0,0.0,165.0
58.0,56.0,0.9999978000123906,2.0,56.0,0.0,168.0
59.0,57.0,0.9999982400099124,2.0,57.0,0.0,171.0
60.0,58.0,0.99999859200793,2.0,58.0,0.0,174.0
61.0,59.0,0.999998873606344,2.0,59.0,0.0,177.0
