roundCount,playCount,amiability,aCount,cCount,dCount,totalPayoffs
1.0,0.0,0.12495116082071639,0.0,0.0,1.0,0.0
2.0,1.0,0.29996092865657314,0.0,1.0,1.0,3.0
3.0,2.0,0.4399687429252585,0.0,2.0,1.0,6.0
4.0,2.0,0.5519749943402068,0.0,3.0,1.0,6.0
5.0,3.0,0.6415799954721655,0.0,4.0,1.0,9.0
6.0,4.0,0.7132639963777324,0.0,5.0,1.0,12.0
7.0,5.0,0.770611197102186,0.0,6.0,1.0,15.0
8.0,6.0,0.8164889576817488,0.0,7.0,1.0,18.0
9.0,7.0,0.853191166145399,0.0,8.0,1.0,21.0
10.0,8.0,0.8825529329163192,0.0,9.0,1.0,24.0
11.0,9.0,0.9060423463330554,0.0,10.0,1.0,27.0
12.0,10.0,0.9248338770664443,0.0,11.0,1.0,30.0
13.0,11.0,0.9398671016531555,0.0,12.0,1.0,33.0
14.0,12.0,0.9518936813225244,0.0,13.0,1.0,36.0
15.0,13.0,0.9615149450580195,0.0,14.0,1.0,39.0
16.0,14.0,0.9692119560464156,0.0,15.0,1.0,42.0
17.0,15.0,0.9753695648371326,0.0,16.0,1.0,45.0
18.0,16.0,0.980295651869706,0.0,17.0,1.0,48.0
19.0,17.0,0.9842365214957648,0.0,18.0,1.0,51.0
20.0,18.0,0.9873892171966119,0.0,19.0,1.0,54.0
21.0,19.0,0.9899113737572895,0.0,20.0,1.0,57.0
22.0,20.0,0.9919290990058316,0.0,21.0,1.0,60.0
23.0,21.0,0.9935432792046652,0.0,22.0,1.0,63.0
24.0,22.0,0.9948346233637322,0.0,23.0,1.0,66.0
25.0,23.0,0.9958676986909858,0.0,24.0,1.0,69.0
26.0,24.0,0.9966941589527887,0.0,25.0,1.0,72.0
27.0,25.0,0.997355327162231,0.0,26.0,1.0,75.0
28.0,26.0,0.9978842617297847,0.0,27.0,1.0,78.0
29.0,27.0,0.9983074093838278,0.0,28.0,1.0,81.0
30.0,28.0,0.9986459275070623,0.0,29.0,1.0,84.0
31.0,29.0,0.9989167420056498,0.0,30.0,1.0,87.0
32.0,30.0,0.9991333936045199,0.0,31.0,1.0,90.0
33.0,31.0,0.9993067148836159,0.0,32.0,1.0,93.0
34.0,32.0,0.9994453719068928,0.0,33.0,1.0,96.0
35.0,33.0,0.9995562975255142,0.0,34.0,1.0,99.0
