AgentID,3,Threshold,0.25
roundCount,playCount,amiability,aCount,cCount,dCount,totalPayoffs
1.0,1.0,0.37855052998748934,0.0,1.0,0.0,-1.0
2.0,2.0,0.5028404239899915,0.0,2.0,0.0,-2.0
3.0,3.0,0.6022723391919932,0.0,3.0,0.0,1.0
4.0,4.0,0.6818178713535945,0.0,4.0,0.0,4.0
5.0,5.0,0.7454542970828756,0.0,5.0,0.0,7.0
6.0,6.0,0.7963634376663005,0.0,6.0,0.0,10.0
7.0,7.0,0.8370907501330404,0.0,7.0,0.0,13.0
8.0,8.0,0.8696726001064323,0.0,8.0,0.0,16.0
9.0,9.0,0.8957380800851459,0.0,9.0,0.0,19.0
10.0,9.0,0.9165904640681167,0.0,10.0,0.0,19.0
11.0,10.0,0.9332723712544934,0.0,11.0,0.0,22.0
12.0,11.0,0.9466178970035947,0.0,12.0,0.0,25.0
13.0,12.0,0.9572943176028758,0.0,13.0,0.0,28.0
14.0,13.0,0.9658354540823006,0.0,14.0,0.0,31.0
15.0,14.0,0.9726683632658405,0.0,15.0,0.0,34.0
16.0,15.0,0.9781346906126724,0.0,16.0,0.0,37.0
17.0,16.0,0.982507752490138,0.0,17.0,0.0,40.0
18.0,17.0,0.9860062019921104,0.0,18.0,0.0,43.0
19.0,18.0,0.9888049615936884,0.0,19.0,0.0,46.0
20.0,19.0,0.9910439692749506,0.0,20.0,0.0,49.0
21.0,20.0,0.9928351754199605,0.0,21.0,0.0,52.0
22.0,21.0,0.9942681403359683,0.0,22.0,0.0,55.0
23.0,22.0,0.9954145122687746,0.0,23.0,0.0,58.0
24.0,23.0,0.9963316098150197,0.0,24.0,0.0,61.0
25.0,24.0,0.9970652878520158,0.0,25.0,0.0,64.0
26.0,25.0,0.9976522302816127,0.0,26.0,0.0,67.0
27.0,26.0,0.9981217842252901,0.0,27.0,0.0,70.0
28.0,27.0,0.9984974273802321,0.0,28.0,0.0,73.0
29.0,28.0,0.9987979419041857,0.0,29.0,0.0,76.0
30.0,29.0,0.9990383535233486,0.0,30.0,0.0,79.0
31.0,30.0,0.9992306828186789,0.0,31.0,0.0,82.0
32.0,31.0,0.9993845462549431,0.0,32.0,0.0,85.0
33.0,32.0,0.9995076370039545,0.0,33.0,0.0,88.0
34.0,33.0,0.9996061096031637,0.0,34.0,0.0,91.0
35.0,34.0,0.9996848876825309,0.0,35.0,0.0,94.0
36.0,35.0,0.9997479101460247,0.0,36.0,0.0,97.0
37.0,36.0,0.9997983281168198,0.0,37.0,0.0,100.0
38.0,37.0,0.9998386624934559,0.0,38.0,0.0,103.0
39.0,38.0,0.9998709299947647,0.0,39.0,0.0,106.0
40.0,39.0,0.9998967439958117,0.0,40.0,0.0,109.0
41.0,40.0,0.9999173951966494,0.0,41.0,0.0,112.0
42.0,41.0,0.9999339161573195,0.0,42.0,0.0,115.0
43.0,42.0,0.9999471329258556,0.0,43.0,0.0,118.0
44.0,43.0,0.9999577063406845,0.0,44.0,0.0,121.0
45.0,44.0,0.9999661650725475,0.0,45.0,0.0,124.0
46.0,45.0,0.999972932058038,0.0,46.0,0.0,127.0
47.0,46.0,0.9999783456464304,0.0,47.0,0.0,130.0
48.0,47.0,0.9999826765171443,0.0,48.0,0.0,133.0
49.0,48.0,0.9999861412137154,0.0,49.0,0.0,136.0
50.0,49.0,0.9999889129709724,0.0,50.0,0.0,139.0
51.0,50.0,0.9999911303767779,0.0,51.0,0.0,142.0
52.0,51.0,0.9999929043014223,0.0,52.0,0.0,145.0
53.0,52.0,0.9999943234411378,0.0,53.0,0.0,148.0
