AgentID,9,Threshold,0.25
roundCount,playCount,amiability,aCount,cCount,dCount,totalPayoffs
1.0,0.0,0.47618651838651854,0.0,1.0,0.0,0.0
2.0,1.0,0.5809492147092148,0.0,2.0,0.0,3.0
3.0,2.0,0.6647593717673719,0.0,3.0,0.0,6.0
4.0,3.0,0.7318074974138975,0.0,4.0,0.0,9.0
5.0,4.0,0.785445997931118,0.0,5.0,0.0,12.0
6.0,5.0,0.8283567983448944,0.0,6.0,0.0,15.0
7.0,6.0,0.8626854386759155,0.0,7.0,0.0,18.0
8.0,7.0,0.8901483509407324,0.0,8.0,0.0,21.0
9.0,8.0,0.912118680752586,0.0,9.0,0.0,24.0
10.0,9.0,0.9296949446020688,0.0,10.0,0.0,27.0
11.0,10.0,0.943755955681655,0.0,11.0,0.0,30.0
12.0,11.0,0.955004764545324,0.0,12.0,0.0,33.0
13.0,12.0,0.9640038116362593,0.0,13.0,0.0,36.0
14.0,13.0,0.9712030493090074,0.0,14.0,0.0,39.0
15.0,14.0,0.9769624394472058,0.0,15.0,0.0,42.0
16.0,15.0,0.9815699515577647,0.0,16.0,0.0,45.0
17.0,16.0,0.9852559612462117,0.0,17.0,0.0,48.0
18.0,17.0,0.9882047689969694,0.0,18.0,0.0,51.0
19.0,18.0,0.9905638151975755,0.0,19.0,0.0,54.0
20.0,19.0,0.9924510521580604,0.0,20.0,0.0,57.0
21.0,20.0,0.9939608417264483,0.0,21.0,0.0,60.0
22.0,21.0,0.9951686733811587,0.0,22.0,0.0,63.0
23.0,22.0,0.996134938704927,0.0,23.0,0.0,66.0
24.0,23.0,0.9969079509639416,0.0,24.0,0.0,69.0
25.0,24.0,0.9975263607711533,0.0,25.0,0.0,72.0
26.0,25.0,0.9980210886169226,0.0,26.0,0.0,75.0
27.0,26.0,0.9984168708935381,0.0,27.0,0.0,78.0
28.0,27.0,0.9987334967148305,0.0,28.0,0.0,81.0
29.0,28.0,0.9989867973718644,0.0,29.0,0.0,84.0
30.0,29.0,0.9991894378974915,0.0,30.0,0.0,87.0
31.0,30.0,0.9993515503179932,0.0,31.0,0.0,90.0
32.0,31.0,0.9994812402543946,0.0,32.0,0.0,93.0
33.0,32.0,0.9995849922035156,0.0,33.0,0.0,96.0
34.0,33.0,0.9996679937628125,0.0,34.0,0.0,99.0
35.0,34.0,0.99973439501025,0.0,35.0,0.0,102.0
36.0,35.0,0.9997875160081999,0.0,36.0,0.0,105.0
