AgentID,7,Threshold,0.75
roundCount,playCount,amiability,aCount,cCount,dCount,totalPayoffs
1.0,1.0,0.0032137164058269607,0.0,0.0,1.0,0.0
2.0,2.0,0.20257097312466157,0.0,0.0,2.0,0.0
3.0,3.0,0.3620567784997293,0.0,0.0,3.0,5.0
4.0,3.0,0.4896454227997834,1.0,0.0,3.0,5.0
5.0,3.0,0.5917163382398267,2.0,0.0,3.0,5.0
6.0,3.0,0.6733730705918614,3.0,0.0,3.0,5.0
7.0,3.0,0.7386984564734891,4.0,0.0,3.0,5.0
8.0,4.0,0.7909587651787913,4.0,1.0,3.0,8.0
9.0,5.0,0.8327670121430331,4.0,2.0,3.0,11.0
10.0,6.0,0.8662136097144264,4.0,3.0,3.0,14.0
11.0,7.0,0.8929708877715411,4.0,4.0,3.0,17.0
12.0,8.0,0.9143767102172329,4.0,5.0,3.0,20.0
13.0,9.0,0.9315013681737863,4.0,6.0,3.0,23.0
14.0,10.0,0.945201094539029,4.0,7.0,3.0,26.0
15.0,11.0,0.9561608756312232,4.0,8.0,3.0,29.0
16.0,12.0,0.9649287005049786,4.0,9.0,3.0,32.0
17.0,13.0,0.9719429604039829,4.0,10.0,3.0,35.0
18.0,14.0,0.9775543683231863,4.0,11.0,3.0,38.0
19.0,15.0,0.982043494658549,4.0,12.0,3.0,41.0
20.0,16.0,0.9856347957268392,4.0,13.0,3.0,44.0
21.0,17.0,0.9885078365814713,4.0,14.0,3.0,47.0
22.0,18.0,0.9908062692651771,4.0,15.0,3.0,50.0
23.0,19.0,0.9926450154121417,4.0,16.0,3.0,53.0
24.0,20.0,0.9941160123297134,4.0,17.0,3.0,56.0
25.0,21.0,0.9952928098637707,4.0,18.0,3.0,59.0
26.0,22.0,0.9962342478910166,4.0,19.0,3.0,62.0
27.0,23.0,0.9969873983128132,4.0,20.0,3.0,65.0
28.0,24.0,0.9975899186502506,4.0,21.0,3.0,68.0
29.0,25.0,0.9980719349202005,4.0,22.0,3.0,71.0
30.0,26.0,0.9984575479361604,4.0,23.0,3.0,74.0
31.0,27.0,0.9987660383489283,4.0,24.0,3.0,77.0
32.0,28.0,0.9990128306791426,4.0,25.0,3.0,80.0
33.0,29.0,0.9992102645433141,4.0,26.0,3.0,83.0
34.0,30.0,0.9993682116346513,4.0,27.0,3.0,86.0
35.0,31.0,0.9994945693077211,4.0,28.0,3.0,89.0
36.0,32.0,0.9995956554461769,4.0,29.0,3.0,92.0
37.0,33.0,0.9996765243569415,4.0,30.0,3.0,95.0
38.0,34.0,0.9997412194855533,4.0,31.0,3.0,98.0
39.0,35.0,0.9997929755884426,4.0,32.0,3.0,101.0
40.0,36.0,0.9998343804707541,4.0,33.0,3.0,104.0
41.0,37.0,0.9998675043766033,4.0,34.0,3.0,107.0
42.0,38.0,0.9998940035012827,4.0,35.0,3.0,110.0
43.0,39.0,0.9999152028010261,4.0,36.0,3.0,113.0
44.0,40.0,0.9999321622408208,4.0,37.0,3.0,116.0
45.0,41.0,0.9999457297926566,4.0,38.0,3.0,119.0
46.0,42.0,0.9999565838341253,4.0,39.0,3.0,122.0
47.0,43.0,0.9999652670673003,4.0,40.0,3.0,125.0
48.0,44.0,0.9999722136538403,4.0,41.0,3.0,128.0
49.0,45.0,0.9999777709230722,4.0,42.0,3.0,131.0
50.0,46.0,0.9999822167384578,4.0,43.0,3.0,134.0
51.0,47.0,0.9999857733907662,4.0,44.0,3.0,137.0
