AgentID,6,Threshold,0.5
roundCount,playCount,amiability,aCount,cCount,dCount,totalPayoffs
1.0,0.0,0.32454203762987294,1.0,0.0,0.0,0.0
2.0,0.0,0.45963363010389835,2.0,0.0,0.0,0.0
3.0,0.0,0.5677069040831186,2.0,1.0,0.0,0.0
4.0,0.0,0.6541655232664949,2.0,2.0,0.0,0.0
5.0,1.0,0.723332418613196,2.0,3.0,0.0,-1.0
6.0,1.0,0.7786659348905568,2.0,4.0,0.0,-1.0
7.0,2.0,0.8229327479124454,2.0,5.0,0.0,2.0
8.0,3.0,0.8583461983299563,2.0,6.0,0.0,5.0
9.0,4.0,0.886676958663965,2.0,7.0,0.0,8.0
10.0,5.0,0.909341566931172,2.0,8.0,0.0,11.0
11.0,6.0,0.9274732535449376,2.0,9.0,0.0,14.0
12.0,7.0,0.94197860283595,2.0,10.0,0.0,17.0
13.0,8.0,0.95358288226876,2.0,11.0,0.0,20.0
14.0,9.0,0.962866305815008,2.0,12.0,0.0,23.0
15.0,10.0,0.9702930446520064,2.0,13.0,0.0,26.0
16.0,11.0,0.9762344357216051,2.0,14.0,0.0,29.0
17.0,12.0,0.9809875485772841,2.0,15.0,0.0,32.0
18.0,13.0,0.9847900388618273,2.0,16.0,0.0,35.0
19.0,14.0,0.9878320310894618,2.0,17.0,0.0,38.0
20.0,15.0,0.9902656248715694,2.0,18.0,0.0,41.0
21.0,16.0,0.9922124998972556,2.0,19.0,0.0,44.0
22.0,17.0,0.9937699999178045,2.0,20.0,0.0,47.0
23.0,18.0,0.9950159999342436,2.0,21.0,0.0,50.0
24.0,19.0,0.9960127999473949,2.0,22.0,0.0,53.0
25.0,20.0,0.996810239957916,2.0,23.0,0.0,56.0
26.0,21.0,0.9974481919663327,2.0,24.0,0.0,59.0
27.0,22.0,0.9979585535730662,2.0,25.0,0.0,62.0
28.0,23.0,0.9983668428584529,2.0,26.0,0.0,65.0
29.0,24.0,0.9986934742867624,2.0,27.0,0.0,68.0
30.0,25.0,0.9989547794294099,2.0,28.0,0.0,71.0
31.0,26.0,0.999163823543528,2.0,29.0,0.0,74.0
32.0,27.0,0.9993310588348223,2.0,30.0,0.0,77.0
33.0,28.0,0.9994648470678579,2.0,31.0,0.0,80.0
34.0,29.0,0.9995718776542863,2.0,32.0,0.0,83.0
35.0,30.0,0.9996575021234291,2.0,33.0,0.0,86.0
36.0,31.0,0.9997260016987433,2.0,34.0,0.0,89.0
37.0,32.0,0.9997808013589946,2.0,35.0,0.0,92.0
38.0,33.0,0.9998246410871957,2.0,36.0,0.0,95.0
39.0,34.0,0.9998597128697566,2.0,37.0,0.0,98.0
40.0,35.0,0.9998877702958053,2.0,38.0,0.0,101.0
41.0,36.0,0.9999102162366442,2.0,39.0,0.0,104.0
42.0,37.0,0.9999281729893154,2.0,40.0,0.0,107.0
43.0,38.0,0.9999425383914523,2.0,41.0,0.0,110.0
44.0,39.0,0.9999540307131618,2.0,42.0,0.0,113.0
45.0,40.0,0.9999632245705294,2.0,43.0,0.0,116.0
46.0,41.0,0.9999705796564236,2.0,44.0,0.0,119.0
47.0,42.0,0.9999764637251388,2.0,45.0,0.0,122.0
48.0,43.0,0.9999811709801111,2.0,46.0,0.0,125.0
49.0,44.0,0.9999849367840888,2.0,47.0,0.0,128.0
50.0,45.0,0.9999879494272711,2.0,48.0,0.0,131.0
51.0,46.0,0.9999903595418169,2.0,49.0,0.0,134.0
