roundCount,playCount,amiability,aCount,cCount,dCount,totalPayoffs
1.0,1.0,0.0883163853528417,0.0,0.0,1.0,0.0
2.0,2.0,0.2706531082822734,0.0,1.0,1.0,-1.0
3.0,3.0,0.4165224866258187,0.0,2.0,1.0,2.0
4.0,3.0,0.533217989300655,0.0,3.0,1.0,2.0
5.0,4.0,0.626574391440524,0.0,4.0,1.0,5.0
6.0,5.0,0.7012595131524192,0.0,5.0,1.0,8.0
7.0,6.0,0.7610076105219353,0.0,6.0,1.0,11.0
8.0,7.0,0.8088060884175483,0.0,7.0,1.0,14.0
9.0,8.0,0.8470448707340387,0.0,8.0,1.0,17.0
10.0,9.0,0.877635896587231,0.0,9.0,1.0,20.0
11.0,10.0,0.9021087172697848,0.0,10.0,1.0,23.0
12.0,11.0,0.9216869738158279,0.0,11.0,1.0,26.0
13.0,12.0,0.9373495790526623,0.0,12.0,1.0,29.0
14.0,13.0,0.9498796632421298,0.0,13.0,1.0,32.0
15.0,14.0,0.9599037305937038,0.0,14.0,1.0,35.0
16.0,15.0,0.967922984474963,0.0,15.0,1.0,38.0
17.0,16.0,0.9743383875799705,0.0,16.0,1.0,41.0
18.0,17.0,0.9794707100639763,0.0,17.0,1.0,44.0
19.0,18.0,0.9835765680511811,0.0,18.0,1.0,47.0
20.0,19.0,0.9868612544409449,0.0,19.0,1.0,50.0
21.0,20.0,0.9894890035527559,0.0,20.0,1.0,53.0
22.0,21.0,0.9915912028422047,0.0,21.0,1.0,56.0
23.0,22.0,0.9932729622737637,0.0,22.0,1.0,59.0
24.0,23.0,0.994618369819011,0.0,23.0,1.0,62.0
25.0,24.0,0.9956946958552088,0.0,24.0,1.0,65.0
26.0,25.0,0.996555756684167,0.0,25.0,1.0,68.0
27.0,26.0,0.9972446053473336,0.0,26.0,1.0,71.0
28.0,27.0,0.9977956842778669,0.0,27.0,1.0,74.0
29.0,28.0,0.9982365474222935,0.0,28.0,1.0,77.0
30.0,29.0,0.9985892379378348,0.0,29.0,1.0,80.0
31.0,30.0,0.9988713903502678,0.0,30.0,1.0,83.0
32.0,31.0,0.9990971122802143,0.0,31.0,1.0,86.0
33.0,32.0,0.9992776898241714,0.0,32.0,1.0,89.0
34.0,33.0,0.9994221518593371,0.0,33.0,1.0,92.0
35.0,34.0,0.9995377214874697,0.0,34.0,1.0,95.0
36.0,35.0,0.9996301771899757,0.0,35.0,1.0,98.0
37.0,36.0,0.9997041417519805,0.0,36.0,1.0,101.0
38.0,37.0,0.9997633134015844,0.0,37.0,1.0,104.0
39.0,38.0,0.9998106507212675,0.0,38.0,1.0,107.0
40.0,39.0,0.999848520577014,0.0,39.0,1.0,110.0
41.0,40.0,0.9998788164616113,0.0,40.0,1.0,113.0
42.0,41.0,0.999903053169289,0.0,41.0,1.0,116.0
43.0,42.0,0.9999224425354312,0.0,42.0,1.0,119.0
44.0,43.0,0.999937954028345,0.0,43.0,1.0,122.0
45.0,44.0,0.9999503632226759,0.0,44.0,1.0,125.0
46.0,45.0,0.9999602905781407,0.0,45.0,1.0,128.0
47.0,46.0,0.9999682324625125,0.0,46.0,1.0,131.0
48.0,47.0,0.99997458597001,0.0,47.0,1.0,134.0
49.0,48.0,0.999979668776008,0.0,48.0,1.0,137.0
50.0,49.0,0.9999837350208064,0.0,49.0,1.0,140.0
