roundCount,playCount,amiability,aCount,cCount,dCount,totalPayoffs
1.0,1.0,0.03332580735295376,0.0,0.0,1.0,0.0
2.0,2.0,0.226660645882363,0.0,0.0,2.0,5.0
3.0,2.0,0.3813285167058904,1.0,0.0,2.0,5.0
4.0,2.0,0.5050628133647124,2.0,0.0,2.0,5.0
5.0,2.0,0.6040502506917699,3.0,0.0,2.0,5.0
6.0,2.0,0.6832402005534159,4.0,0.0,2.0,5.0
7.0,2.0,0.7465921604427328,5.0,0.0,2.0,5.0
8.0,3.0,0.7972737283541862,5.0,1.0,2.0,8.0
9.0,4.0,0.837818982683349,5.0,2.0,2.0,11.0
10.0,5.0,0.8702551861466792,5.0,3.0,2.0,14.0
11.0,6.0,0.8962041489173433,5.0,4.0,2.0,17.0
12.0,7.0,0.9169633191338746,5.0,5.0,2.0,20.0
13.0,8.0,0.9335706553070997,5.0,6.0,2.0,23.0
14.0,9.0,0.9468565242456798,5.0,7.0,2.0,26.0
15.0,10.0,0.9574852193965439,5.0,8.0,2.0,29.0
16.0,11.0,0.965988175517235,5.0,9.0,2.0,32.0
17.0,12.0,0.972790540413788,5.0,10.0,2.0,35.0
18.0,13.0,0.9782324323310304,5.0,11.0,2.0,38.0
19.0,14.0,0.9825859458648243,5.0,12.0,2.0,41.0
20.0,15.0,0.9860687566918594,5.0,13.0,2.0,44.0
21.0,16.0,0.9888550053534876,5.0,14.0,2.0,47.0
22.0,17.0,0.9910840042827901,5.0,15.0,2.0,50.0
23.0,18.0,0.992867203426232,5.0,16.0,2.0,53.0
24.0,19.0,0.9942937627409856,5.0,17.0,2.0,56.0
25.0,20.0,0.9954350101927885,5.0,18.0,2.0,59.0
26.0,21.0,0.9963480081542307,5.0,19.0,2.0,62.0
27.0,22.0,0.9970784065233846,5.0,20.0,2.0,65.0
28.0,23.0,0.9976627252187077,5.0,21.0,2.0,68.0
29.0,24.0,0.9981301801749661,5.0,22.0,2.0,71.0
30.0,25.0,0.9985041441399729,5.0,23.0,2.0,74.0
31.0,26.0,0.9988033153119783,5.0,24.0,2.0,77.0
32.0,27.0,0.9990426522495827,5.0,25.0,2.0,80.0
33.0,28.0,0.9992341217996661,5.0,26.0,2.0,83.0
34.0,29.0,0.9993872974397329,5.0,27.0,2.0,86.0
35.0,30.0,0.9995098379517863,5.0,28.0,2.0,89.0
36.0,31.0,0.9996078703614291,5.0,29.0,2.0,92.0
37.0,32.0,0.9996862962891433,5.0,30.0,2.0,95.0
38.0,33.0,0.9997490370313147,5.0,31.0,2.0,98.0
39.0,34.0,0.9997992296250517,5.0,32.0,2.0,101.0
40.0,35.0,0.9998393837000414,5.0,33.0,2.0,104.0
41.0,36.0,0.9998715069600331,5.0,34.0,2.0,107.0
42.0,37.0,0.9998972055680265,5.0,35.0,2.0,110.0
43.0,38.0,0.9999177644544213,5.0,36.0,2.0,113.0
44.0,39.0,0.999934211563537,5.0,37.0,2.0,116.0
45.0,40.0,0.9999473692508296,5.0,38.0,2.0,119.0
46.0,41.0,0.9999578954006637,5.0,39.0,2.0,122.0
47.0,42.0,0.999966316320531,5.0,40.0,2.0,125.0
48.0,43.0,0.9999730530564248,5.0,41.0,2.0,128.0
