roundCount,playCount,amiability,aCount,cCount,dCount,totalPayoffs
1.0,0.0,0.4732471497387344,1.0,0.0,0.0,0.0
2.0,1.0,0.5785977197909875,1.0,1.0,0.0,3.0
3.0,1.0,0.66287817583279,1.0,2.0,0.0,3.0
4.0,1.0,0.730302540666232,1.0,3.0,0.0,3.0
5.0,1.0,0.7842420325329856,1.0,4.0,0.0,3.0
6.0,2.0,0.8273936260263886,1.0,5.0,0.0,6.0
7.0,3.0,0.8619149008211109,1.0,6.0,0.0,9.0
8.0,3.0,0.8895319206568887,1.0,7.0,0.0,9.0
9.0,4.0,0.9116255365255109,1.0,8.0,0.0,12.0
10.0,5.0,0.9293004292204088,1.0,9.0,0.0,15.0
11.0,6.0,0.943440343376327,1.0,10.0,0.0,18.0
12.0,7.0,0.9547522747010616,1.0,11.0,0.0,21.0
13.0,8.0,0.9638018197608493,1.0,12.0,0.0,24.0
14.0,9.0,0.9710414558086795,1.0,13.0,0.0,27.0
15.0,10.0,0.9768331646469436,1.0,14.0,0.0,30.0
16.0,11.0,0.9814665317175548,1.0,15.0,0.0,33.0
17.0,12.0,0.9851732253740438,1.0,16.0,0.0,36.0
18.0,13.0,0.9881385802992351,1.0,17.0,0.0,39.0
19.0,14.0,0.9905108642393881,1.0,18.0,0.0,42.0
20.0,15.0,0.9924086913915104,1.0,19.0,0.0,45.0
21.0,16.0,0.9939269531132083,1.0,20.0,0.0,48.0
22.0,17.0,0.9951415624905666,1.0,21.0,0.0,51.0
23.0,18.0,0.9961132499924533,1.0,22.0,0.0,54.0
24.0,19.0,0.9968905999939627,1.0,23.0,0.0,57.0
25.0,20.0,0.9975124799951701,1.0,24.0,0.0,60.0
26.0,21.0,0.998009983996136,1.0,25.0,0.0,63.0
27.0,22.0,0.9984079871969088,1.0,26.0,0.0,66.0
28.0,23.0,0.998726389757527,1.0,27.0,0.0,69.0
29.0,24.0,0.9989811118060217,1.0,28.0,0.0,72.0
30.0,25.0,0.9991848894448173,1.0,29.0,0.0,75.0
31.0,26.0,0.9993479115558539,1.0,30.0,0.0,78.0
32.0,27.0,0.9994783292446832,1.0,31.0,0.0,81.0
33.0,28.0,0.9995826633957465,1.0,32.0,0.0,84.0
34.0,29.0,0.9996661307165973,1.0,33.0,0.0,87.0
35.0,30.0,0.9997329045732778,1.0,34.0,0.0,90.0
36.0,31.0,0.9997863236586222,1.0,35.0,0.0,93.0
37.0,32.0,0.9998290589268978,1.0,36.0,0.0,96.0
38.0,33.0,0.9998632471415182,1.0,37.0,0.0,99.0
39.0,34.0,0.9998905977132145,1.0,38.0,0.0,102.0
40.0,35.0,0.9999124781705716,1.0,39.0,0.0,105.0
41.0,36.0,0.9999299825364573,1.0,40.0,0.0,108.0
42.0,37.0,0.9999439860291658,1.0,41.0,0.0,111.0
43.0,38.0,0.9999551888233327,1.0,42.0,0.0,114.0
44.0,39.0,0.9999641510586661,1.0,43.0,0.0,117.0
45.0,40.0,0.9999713208469329,1.0,44.0,0.0,120.0
46.0,41.0,0.9999770566775463,1.0,45.0,0.0,123.0
47.0,42.0,0.999981645342037,1.0,46.0,0.0,126.0
48.0,43.0,0.9999853162736296,1.0,47.0,0.0,129.0
