roundCount,playCount,amiability,aCount,cCount,dCount,totalPayoffs
1.0,0.0,0.03910092104677115,0.0,0.0,1.0,0.0
2.0,0.0,0.23128073683741693,1.0,0.0,1.0,0.0
3.0,1.0,0.38502458946993356,1.0,1.0,1.0,3.0
4.0,2.0,0.5080196715759469,1.0,2.0,1.0,6.0
5.0,3.0,0.6064157372607575,1.0,3.0,1.0,9.0
6.0,4.0,0.685132589808606,1.0,4.0,1.0,12.0
7.0,5.0,0.7481060718468848,1.0,5.0,1.0,15.0
8.0,6.0,0.7984848574775079,1.0,6.0,1.0,18.0
9.0,7.0,0.8387878859820063,1.0,7.0,1.0,21.0
10.0,8.0,0.8710303087856051,1.0,8.0,1.0,24.0
11.0,9.0,0.8968242470284841,1.0,9.0,1.0,27.0
12.0,10.0,0.9174593976227873,1.0,10.0,1.0,30.0
13.0,11.0,0.9339675180982299,1.0,11.0,1.0,33.0
14.0,12.0,0.9471740144785838,1.0,12.0,1.0,36.0
15.0,13.0,0.9577392115828671,1.0,13.0,1.0,39.0
16.0,14.0,0.9661913692662937,1.0,14.0,1.0,42.0
17.0,15.0,0.972953095413035,1.0,15.0,1.0,45.0
18.0,16.0,0.9783624763304279,1.0,16.0,1.0,48.0
19.0,17.0,0.9826899810643424,1.0,17.0,1.0,51.0
20.0,18.0,0.9861519848514739,1.0,18.0,1.0,54.0
21.0,19.0,0.9889215878811791,1.0,19.0,1.0,57.0
22.0,20.0,0.9911372703049433,1.0,20.0,1.0,60.0
23.0,21.0,0.9929098162439546,1.0,21.0,1.0,63.0
24.0,22.0,0.9943278529951637,1.0,22.0,1.0,66.0
25.0,23.0,0.995462282396131,1.0,23.0,1.0,69.0
26.0,24.0,0.9963698259169048,1.0,24.0,1.0,72.0
27.0,25.0,0.9970958607335239,1.0,25.0,1.0,75.0
28.0,26.0,0.9976766885868191,1.0,26.0,1.0,78.0
29.0,27.0,0.9981413508694553,1.0,27.0,1.0,81.0
30.0,28.0,0.9985130806955642,1.0,28.0,1.0,84.0
31.0,29.0,0.9988104645564514,1.0,29.0,1.0,87.0
32.0,30.0,0.9990483716451611,1.0,30.0,1.0,90.0
33.0,31.0,0.9992386973161289,1.0,31.0,1.0,93.0
34.0,32.0,0.9993909578529031,1.0,32.0,1.0,96.0
35.0,33.0,0.9995127662823224,1.0,33.0,1.0,99.0
36.0,34.0,0.999610213025858,1.0,34.0,1.0,102.0
37.0,35.0,0.9996881704206864,1.0,35.0,1.0,105.0
38.0,36.0,0.9997505363365491,1.0,36.0,1.0,108.0
39.0,37.0,0.9998004290692393,1.0,37.0,1.0,111.0
40.0,38.0,0.9998403432553914,1.0,38.0,1.0,114.0
41.0,39.0,0.9998722746043132,1.0,39.0,1.0,117.0
42.0,40.0,0.9998978196834505,1.0,40.0,1.0,120.0
43.0,41.0,0.9999182557467604,1.0,41.0,1.0,123.0
44.0,42.0,0.9999346045974083,1.0,42.0,1.0,126.0
45.0,43.0,0.9999476836779266,1.0,43.0,1.0,129.0
46.0,44.0,0.9999581469423413,1.0,44.0,1.0,132.0
47.0,45.0,0.999966517553873,1.0,45.0,1.0,135.0
48.0,46.0,0.9999732140430984,1.0,46.0,1.0,138.0
49.0,47.0,0.9999785712344786,1.0,47.0,1.0,141.0
50.0,48.0,0.9999828569875829,1.0,48.0,1.0,144.0
51.0,49.0,0.9999862855900663,1.0,49.0,1.0,147.0
52.0,50.0,0.9999890284720531,1.0,50.0,1.0,150.0
53.0,51.0,0.9999912227776424,1.0,51.0,1.0,153.0
54.0,52.0,0.999992978222114,1.0,52.0,1.0,156.0
55.0,53.0,0.9999943825776911,1.0,53.0,1.0,159.0
56.0,54.0,0.9999955060621529,1.0,54.0,1.0,162.0
57.0,55.0,0.9999964048497223,1.0,55.0,1.0,165.0
58.0,56.0,0.9999971238797778,1.0,56.0,1.0,168.0
59.0,57.0,0.9999976991038222,1.0,57.0,1.0,171.0
60.0,58.0,0.9999981592830578,1.0,58.0,1.0,174.0
